Final Price/Ounce,Final Price (max),Discount,Alt Price/Ounce,Alt Price (min),Strike Price,List Price,Product Name,Grams of Sugar,Grams of Protein,Grams of Fat,Calories,Number in Package,Ounces
0.083,4.99,1.49,0.058,3.5,4.99,3.5,Signature SELECT frzn Yogurt Vanilla Light - 1.5 Quart Get started today - enroll in Box Tops for Education,14,5,0.5,13,0,60
0.083,4.99,1.49,0.058,3.5,4.99,3.5,Signature SELECT frzn Yogurt Chocolate Light - 1.5 Quart Get started today - enroll in Box Tops for Education,13,5,0.5,12,0,60
0.083,4.99,1.49,0.058,3.5,4.99,3.5,Signature SELECT frzn Yogurt Chocolate Chip Black Cherry Low Fat - 1.5 Quart Get started today - enroll in Box Tops for Education,14,4,1,13,0,60
0.087,2.79,0.29,0.078,2.5,2.79,2.5,Lucerne Yogurt Lowfat Vanilla Flavored - 32 Oz Get started today - enroll in Box Tops for Education,35,5,1.5,17,0,32
0.098,0.59,0.09,0.083,0.5,0.59,0.5,Lucerne Yogurt Lowfat Strawberry Banana Flavored - 6 Oz Get started today - enroll in Box Tops for Education,18,6,2,14,0,6
0.098,0.59,0.09,0.083,0.5,0.59,0.5,Lucerne Yogurt Nonfat Light Blueberry Flavored - 6 Oz Get started today - enroll in Box Tops for Education,12,6,0,10,0,6
0.098,0.59,0.09,0.083,0.5,0.59,0.5,Lucerne Yogurt Lowfat Blueberry Flavored - 6 Oz Get started today - enroll in Box Tops for Education,27,6,2,14,0,6
0.098,0.59,0.09,0.083,0.5,0.59,0.5,Lucerne Yogurt Lowfat Cherry Flavored - 6 Oz Get started today - enroll in Box Tops for Education,26,6,1.5,17,0,6
0.098,0.59,0.09,0.083,0.5,0.59,0.5,Lucerne Yogurt Lowfat Peach Flavored - 6 Oz Get started today - enroll in Box Tops for Education,18,6,1.5,16,0,6
0.098,0.59,0.09,0.083,0.5,0.59,0.5,Lucerne Yogurt Nonfat Light Black Cherry Flavored - 6 Oz Get started today - enroll in Box Tops for Education,12,6,0,10,0,6
0.098,0.59,0.09,0.083,0.5,0.59,0.5,Lucerne Yogurt Light Nonfat Peach Flavored - 6 Oz Get started today - enroll in Box Tops for Education,10,6,0,90,0,6
0.098,0.59,0.09,0.083,0.5,0.59,0.5,Lucerne Yogurt Nonfat Light Vanilla Flavored - 6 Oz Get started today - enroll in Box Tops for Education,9,6,0,90,0,6
0.098,0.59,0.09,0.083,0.5,0.59,0.5,Lucerne Yogurt Lowfat Vanilla Flavored - 6 Oz Get started today - enroll in Box Tops for Education,26,5,1.5,17,0,6
0.098,0.59,0.09,0.083,0.5,0.59,0.5,Lucerne Yogurt Lowfat Strawberry Flavored - 6 Oz Get started today - enroll in Box Tops for Education,18,5,1.5,16,0,6
0.1,3.19,0,0.1,3.19,0,3.19,Lucerne Yogurt Whole Milk - 32 Oz Get started today - enroll in Box Tops for Education,16,7,6,15,0,32
0.1,3.19,0,0.1,3.19,0,3.19,Lucerne Yogurt Fat Free Plain - 32 Oz Get started today - enroll in Box Tops for Education,13,7,0,90,0,32
0.1,3.19,0,0.1,3.19,0,3.19,Lucerne Yogurt Low Fat Peach - 32 Oz Get started today - enroll in Box Tops for Education,33,6,1.5,16,0,32
0.1,3.19,0,0.1,3.19,0,3.19,Lucerne Yogurt Light Vanilla - 32 Oz Get started today - enroll in Box Tops for Education,13,6,0,90,0,32
0.1,3.19,0,0.1,3.19,0,3.19,Lucerne Yogurt Lowfat Strawberry Flavored - 32 Oz Get started today - enroll in Box Tops for Education,33,5,1.5,16,0,32
0.128,4.09,0,0.128,4.09,4.09,0,Mountain High Yogurt Vanilla - 32 Oz Get started today - enroll in Box Tops for Education,24,9,6,21,0,32
0.128,4.09,0,0.128,4.09,4.09,0,Mountain High Low Fat Plain Yogurt - 32 Oz Get started today - enroll in Box Tops for Education,13,1,2.5,14,0,32
0.128,4.09,0,0.128,4.09,0,4.09,Dannon Light & Fit Yogurt Nonfat Vanilla - 32 Oz Get started today - enroll in Box Tops for Education,13,7,0,11,0,32
0.128,4.09,0,0.128,4.09,0,4.09,Mountain High Yogurt Low Fat Vanilla - 32 Oz Get started today - enroll in Box Tops for Education,25,1,2.5,18,0,32
0.128,4.09,0,0.128,4.09,0,4.09,Mountain High Fat Free Plain Yogurt - 32 Oz Get started today - enroll in Box Tops for Education,14,1,0,12,0,32
0.128,4.09,0,0.128,4.09,0,4.09,Mountain High Yogurt Plain - 32 Oz Get started today - enroll in Box Tops for Education,12,1,6,17,0,32
0.14,4.49,0.5,0.125,3.99,4.49,3.99,Lucerne Greek Yogurt Nonfat Vanilla - 32 Oz Get started today - enroll in Box Tops for Education,30,1,0,19,0,32
0.14,4.49,0.5,0.125,3.99,4.49,3.99,Lucerne Greek Yogurt Nonfat Plain - 32 Oz Get started today - enroll in Box Tops for Education,11,1,0,13,0,32
0.143,4.59,0,0.143,4.59,4.59,0,GlenOaks Yogurt Drinkable Low Fat With Probiotics Peach - 32 Oz. Get started today - enroll in Box Tops for Education,20,6,2.5,15,0,32
0.143,4.59,1.09,0.109,3.5,4.59,3.5,Zoi Greek Yogurt Honey - 32 Oz Get started today - enroll in Box Tops for Education,28,9,19,32,0,32
0.143,4.59,0,0.143,4.59,0,4.59,GlenOaks Yogurt Drinkable Low Fat With Probiotics Strawberry - 32 Oz. Get started today - enroll in Box Tops for Education,21,6,2.5,15,0,32
0.143,4.59,0,0.143,4.59,0,4.59,GlenOaks Yogurt Drinkable Low Fat With Probiotics Raspberry - 32 Oz. Get started today - enroll in Box Tops for Education,20,6,2.5,15,0,32
0.143,4.59,0,0.143,4.59,0,4.59,GlenOaks Yogurt Drinkable Low Fat With Probiotics Strawberry Banana - 32 Oz. Get started today - enroll in Box Tops for Education,20,6,2.5,15,0,32
0.143,4.59,1.09,0.109,3.5,4.59,3.5,Zoi Greek Lemon Cream - 32 Oz Get started today - enroll in Box Tops for Education,33,1,8,27,0,32
0.143,4.59,1.09,0.109,3.5,4.59,3.5,Zoi Greek Yogurt Plain Traditional Style - 32 Oz Get started today - enroll in Box Tops for Education,8,1,18,23,0,32
0.148,0.89,0,0.148,0.89,0,0.89,Yoplait Original Yogurt Low Fat Mixed Berry - 6 Oz Get started today - enroll in Box Tops for Education,18,6,2,15,0,6
0.148,0.89,0,0.148,0.89,0,0.89,Yoplait Original Yogurt Low Fat Strawberry - 6 Oz Get started today - enroll in Box Tops for Education,18,6,2,15,0,6
0.148,0.89,0,0.148,0.89,0,0.89,Yoplait Original Yogurt Low Fat Harvest Peach - 6 Oz Get started today - enroll in Box Tops for Education,18,6,2,15,0,6
0.148,0.89,0,0.148,0.89,0,0.89,Yoplait Original Yogurt Low Fat French Vanilla - 6 Oz Get started today - enroll in Box Tops for Education,18,6,2,15,0,6
0.148,0.89,0,0.148,0.89,0,0.89,Yoplait Original Yogurt Low Fat Red Raspberry - 6 Oz Get started today - enroll in Box Tops for Education,18,6,2,15,0,6
0.148,0.89,0,0.148,0.89,0,0.89,Yoplait Original Yogurt Low Fat Cherry Orchard - 6 Oz Get started today - enroll in Box Tops for Education,18,6,2,15,0,6
0.148,0.89,0,0.148,0.89,0,0.89,Yoplait Original Yogurt Low Fat Mountain Blueberry - 6 Oz Get started today - enroll in Box Tops for Education,18,6,2,15,0,6
0.148,0.89,0,0.148,0.89,0,0.89,Yoplait Original Yogurt Low Fat Lemon Burst - 6 Oz Get started today - enroll in Box Tops for Education,18,6,2,15,0,6
0.148,0.89,0,0.148,0.89,0,0.89,Yoplait Original Yogurt Low Fat Orange Creme - 6 Oz Get started today - enroll in Box Tops for Education,18,6,2,15,0,6
0.148,0.89,0,0.148,0.89,0,0.89,Yoplait Original Yogurt Low Fat Key Lime Pie - 6 Oz Get started today - enroll in Box Tops for Education,18,6,2,15,0,6
0.148,0.89,0,0.148,0.89,0,0.89,Yoplait Original Yogurt Low Fat Strawberry Banana - 6 Oz Get started today - enroll in Box Tops for Education,18,6,2,15,0,6
0.148,0.89,0,0.148,0.89,0,0.89,Yoplait Original Yogurt Low Fat Pina Colada - 6 Oz Get started today - enroll in Box Tops for Education,18,6,2,15,0,6
0.148,0.89,0,0.148,0.89,0,0.89,Yoplait Original Yogurt Low Fat Blackberry Harvest - 6 Oz Get started today - enroll in Box Tops for Education,18,6,2,15,0,6
0.148,0.89,0,0.148,0.89,0,0.89,Yoplait Light Yogurt Fat Free Very Vanilla - 6 Oz Get started today - enroll in Box Tops for Education,10,5,0,90,0,6
0.148,0.89,0,0.148,0.89,0,0.89,Yoplait Light Yogurt Fat Free Strawberry - 6 Oz Get started today - enroll in Box Tops for Education,10,5,0,90,0,6
0.148,0.89,0,0.148,0.89,0,0.89,Yoplait Light Yogurt Fat Free Harvest Peach - 6 Oz Get started today - enroll in Box Tops for Education,10,5,0,90,0,6
0.148,0.89,0,0.148,0.89,0,0.89,Yoplait Light Yogurt Fat Free Very Cherry - 6 Oz Get started today - enroll in Box Tops for Education,10,5,0,90,0,6
0.148,0.89,0,0.148,0.89,0,0.89,Yoplait Light Yogurt Fat Free Blueberry Patch - 6 Oz Get started today - enroll in Box Tops for Education,10,5,0,90,0,6
0.167,1,0.11,0.148,0.89,1,0.89,Open Nature Greek Yogurt 2% Key Lime - 6 Oz Get started today - enroll in Box Tops for Education,21,1,2.5,16,0,6
0.178,5.69,0,0.178,5.69,5.69,0,Pavels Yogurt Reduced Fat Plain - 32 Oz Get started today - enroll in Box Tops for Education,12,9,4,13,0,32
0.178,5.69,0,0.178,5.69,0,5.69,Brown Cow Cream Top Yogurt All Natural Vanilla - 32 Oz Get started today - enroll in Box Tops for Education,25,8,9,22,0,32
0.178,5.69,0,0.178,5.69,0,5.69,Brown Cow Yogurt Whole Milk Cream Top Plain - 32 Oz Get started today - enroll in Box Tops for Education,13,8,9,17,0,32
0.178,5.69,0,0.178,5.69,0,5.69,Pavels Yogurt Russian - 32 Oz Get started today - enroll in Box Tops for Education,10,8,8,14,0,32
0.178,5.69,0,0.178,5.69,0,5.69,Brown Cow All Natural Smooth & Creamy Maple Yogurt - 32 Oz Get started today - enroll in Box Tops for Education,29,7,9,23,0,32
0.178,5.69,0,0.178,5.69,0,5.69,O Organics Yogurt Whole Milk - 32 Oz Get started today - enroll in Box Tops for Education,15,7,6,13,0,32
0.178,5.69,0,0.178,5.69,0,5.69,Open Nature Yogurt Greek Nonfat Strained Plain - 32 Oz Get started today - enroll in Box Tops for Education,7,1,0,10,0,32
0.179,1.25,0.25,0.143,1,1.25,1,El Mexicano Drinkable Yogurt Pina Colada - 7 Oz. Get started today - enroll in Box Tops for Education,35,7,8,24,0,7
0.179,1.25,0.25,0.143,1,1.25,1,El Mexicano Drinkable Yogurt Strawberry - 7 Oz. Get started today - enroll in Box Tops for Education,35,7,8,24,0,7
0.179,1.25,0.25,0.143,1,1.25,1,El Mexicano Drinkable Yogurt Mango - 7 Oz. Get started today - enroll in Box Tops for Education,35,7,8,24,0,7
0.179,1.25,0.25,0.143,1,1.25,1,El Mexicano Drinkable Yogurt Strawberry Banana - 7 Oz. Get started today - enroll in Box Tops for Education,35,7,8,24,0,7
0.184,6.49,1.5,0.141,4.99,6.49,4.99,Fage Total Yogurt Greek Strained - 35.3 Oz Get started today - enroll in Box Tops for Education,7,2,11,21,0,35.3
0.184,6.49,1.5,0.141,4.99,6.49,4.99,Fage Total 0% Yogurt Greek Nonfat Strained - 35.3 Oz Get started today - enroll in Box Tops for Education,7,2,0,12,0,35.3
0.184,6.49,1.5,0.141,4.99,6.49,4.99,Fage Total 2% Yogurt Greek Lowfat Strained - 35.3 Oz Get started today - enroll in Box Tops for Education,7,2,4.5,16,0,35.3
0.187,5.99,1,0.156,4.99,5.99,4.99,Chobani Yogurt Greek Blended Non-Fat Strawberry - 32 Oz Get started today - enroll in Box Tops for Education,23,1,0,18,0,32
0.187,5.99,1,0.156,4.99,5.99,4.99,Chobani Yogurt Greek Blended Non-Fat Vanilla - 32 Oz Get started today - enroll in Box Tops for Education,14,1,0,13,0,32
0.187,5.99,1,0.156,4.99,5.99,4.99,Chobani Yogurt Greek Non-Fat Plain - 32 Oz Get started today - enroll in Box Tops for Education,6,1,0,90,0,32
0.187,5.99,1,0.156,4.99,5.99,4.99,Chobani Plain 4% Fat Greek Yogurt - 32 Oz Get started today - enroll in Box Tops for Education,5,1,9,17,0,32
0.189,1,0.11,0.168,0.89,1,0.89,Open Nature Yogurt Greek Nonfat Strained Fruit on the Bottom Blueberry - 5.3 Oz Get started today - enroll in Box Tops for Education,18,1,0,12,0,5.3
0.189,1,0.11,0.168,0.89,1,0.89,Open Nature Yogurt Greek Nonfat Strained Fruit on the Bottom Black Cherry - 5.3 Oz Get started today - enroll in Box Tops for Education,18,1,0,13,0,5.3
0.189,1,0.11,0.168,0.89,1,0.89,Open Nature Yogurt Greek Nonfat Strained Fruit on the Bottom Raspberry - 5.3 Oz Get started today - enroll in Box Tops for Education,18,1,0,12,0,5.3
0.189,1,0.11,0.168,0.89,1,0.89,Open Nature Yogurt Greek Nonfat Strained Fruit on the Bottom Strawberry - 5.3 Oz Get started today - enroll in Box Tops for Education,17,1,0,12,0,5.3
0.189,1,0.11,0.168,0.89,1,0.89,Open Nature Yogurt Greek Nonfat Strained Fruit on the Bottom Peach - 5.3 Oz Get started today - enroll in Box Tops for Education,17,1,0,12,0,5.3
0.189,1,0.11,0.168,0.89,1,0.89,Open Nature Yogurt Greek Nonfat Strained Vanilla - 5.3 Oz Get started today - enroll in Box Tops for Education,17,1,0,12,0,5.3
0.189,1,0.11,0.168,0.89,1,0.89,Open Nature Yogurt Greek Nonfat Strained Plain - 5.3 Oz Get started today - enroll in Box Tops for Education,5,1,0,80,0,5.3
0.195,4.69,1.2,0.145,3.49,4.69,3.49,Greek Gods Yogurt Greek Style Traditional Plain - 24 Oz Get started today - enroll in Box Tops for Education,15,9,14,22,0,24
0.195,4.69,1.2,0.145,3.49,4.69,3.49,Greek Gods Yogurt Greek Style Honey Strawberry - 24 Oz Get started today - enroll in Box Tops for Education,36,8,14,30,0,24
0.195,4.69,1.2,0.145,3.49,4.69,3.49,Greek Gods Yogurt Greek Style Honey Vanilla - 24 Oz Get started today - enroll in Box Tops for Education,33,8,14,29,0,24
0.195,4.69,1.2,0.145,3.49,4.69,3.49,Greek Gods Yogurt Greek Style Honey - 24 Oz Get started today - enroll in Box Tops for Education,33,8,14,29,0,24
0.198,3.49,0.2,0.187,3.29,3.49,3.29,Fage Total 0% Yogurt Greek Nonfat Strained - 17.6 Oz Get started today - enroll in Box Tops for Education,7,2,0,12,0,17.6
0.198,3.49,0.2,0.187,3.29,3.49,3.29,Fage Total 2% Yogurt Greek Lowfat Strained - 17.6 Oz Get started today - enroll in Box Tops for Education,7,2,4.5,16,0,17.6
0.208,1.25,0.25,0.167,1,1.25,1,Clover Org Yogurt Lf Straw - 6 Oz Get started today - enroll in Box Tops for Education,24,7,2,14,0,6
0.208,1.25,0.25,0.167,1,1.25,1,Clover Organic Farms Yogurt Natural Forest Berry Lowfat - 6 Oz Get started today - enroll in Box Tops for Education,21,7,2,14,0,6
0.208,1.25,0.25,0.167,1,1.25,1,Clover Organic Farms Yogurt Natural Vanilla Bean Lowfat - 6 Oz Get started today - enroll in Box Tops for Education,16,7,2.5,13,0,6
0.208,1.25,0.25,0.167,1,1.25,1,Clover Organic Farms Yogurt Cream On Top Strawberry - 6 Oz Get started today - enroll in Box Tops for Education,24,6,6,18,0,6
0.208,1.25,0.25,0.167,1,1.25,1,Clover Organic Farms Yogurt Cream On Top Blueberry - 6 Oz Get started today - enroll in Box Tops for Education,24,6,6,18,0,6
0.212,3.39,0,0.212,3.39,0,3.39,Yoplait Gogurt Lowfat Yogurt Blue Raspberry/Red Berry - 16 Oz Get started today - enroll in Box Tops for Education,8,2,0.5,50,0,16
0.215,6.89,0,0.215,6.89,0,6.89,Dannon Oikos Yogurt Greek Triple Zero Nonfat Vanilla - 32 Oz Get started today - enroll in Box Tops for Education,11,2,0,18,0,32
0.215,6.89,0,0.215,6.89,0,6.89,Dannon Oikos Yogurt Greek Nonfat Plain - 32 Oz Get started today - enroll in Box Tops for Education,9,2,0,12,0,32
0.215,6.89,0,0.215,6.89,0,6.89,Dannon Light & Fit Yogurt Greek Nonfat Vanilla - 32 Oz Get started today - enroll in Box Tops for Education,11,1,0,13,0,32
0.218,6.99,1,0.187,5.99,6.99,5.99,Redwood Hill Farm Goat Yogurt - 32 Oz Get started today - enroll in Box Tops for Education,5,6,6,12,0,32
0.222,6.99,1.5,0.174,5.49,6.99,5.49,DIGIORNO Pizza Original Rising Crust Supreme frzn - 31.5 Oz Get started today - enroll in Box Tops for Education,5,1,13,33,0,31.5
0.223,0.89,0,0.223,0.89,0.89,0,Yoplait Whips! Yogurt Mousse Low Fat Strawberry Mist - 4 Oz Get started today - enroll in Box Tops for Education,21,5,2.5,14,0,4
0.223,0.89,0,0.223,0.89,0,0.89,Yoplait Whips! Yogurt Mousse Chocolate - 4 Oz Get started today - enroll in Box Tops for Education,21,5,4,16,0,4
0.25,5.99,2,0.166,3.99,5.99,3.99,Organic Valley Grassmilk Yogurt Organic Whole Milk Cream On Top Plain - 24 Oz Get started today - enroll in Box Tops for Education,15,1,9,18,0,24
0.25,7.99,0,0.25,7.99,0,7.99,O Organics Organic Greek Yogurt Vanilla - 32 Oz Get started today - enroll in Box Tops for Education,26,1,0,13,0,32
0.25,7.99,0,0.25,7.99,0,7.99,O Organics Organic Greek Yogurt Plain - 32 Oz Get started today - enroll in Box Tops for Education,7,1,0,10,0,32
0.258,1.55,0,0.258,1.55,0,1.55,Clover Organic Farms Yogurt Natural Peach Lowfat - 6 Oz Get started today - enroll in Box Tops for Education,21,6,2,13,0,6
0.266,6.39,0,0.266,6.39,0,6.39,Forager Cashewgurt Vnlla Bean Org - 24 Oz Get started today - enroll in Box Tops for Education,12,3,6,14,0,24
0.266,6.39,0,0.266,6.39,0,6.39,Forager Yogurt Cashew Plain - 24 Oz Get started today - enroll in Box Tops for Education,1,3,7,11,0,24
0.27,6.49,0.5,0.25,5.99,6.49,5.99,Siggis Yogurt Icelandic Style Skyr Strained Whole Milk Plain Cup - 24 Oz Get started today - enroll in Box Tops for Education,5,2,9,23,0,24
0.27,6.49,0.5,0.25,5.99,6.49,5.99,siggis Yogurt Non Fat Strained Icelandic Style Skyr Plain - 24 Oz Get started today - enroll in Box Tops for Education,5,2,0.5,15,0,24
0.27,6.49,2.5,0.166,3.99,6.49,3.99,Siggis Yogurt Icelandic Style Skyr Strained Non-Fat Vanilla - 24 Oz Get started today - enroll in Box Tops for Education,14,2,0.5,18,0,24
0.284,9.09,0,0.284,9.09,0,9.09,Wallaby Organic Greek Yogurt Plain Nonfat - 32 Oz Get started today - enroll in Box Tops for Education,7,2,0,14,0,32
0.284,9.09,0,0.284,9.09,0,9.09,Wallaby Organic Yogurt Blended Plain - 32 Oz Get started today - enroll in Box Tops for Education,6,1,10,21,0,32
0.284,9.09,0,0.284,9.09,0,9.09,Clover Organic Nf Greek Plain Yogurt - 32 Oz Get started today - enroll in Box Tops for Education,6,1,0,10,0,32
0.285,3.99,0.99,0.214,3,3.99,3,Bolthouse Farms Reduced Fat Chunky Blue Cheese Yogurt Dressing - 14 Oz. Get started today - enroll in Box Tops for Education,1,2,2.5,35,0,14
0.285,3.99,0.99,0.214,3,3.99,3,Bolthouse Farms Honey Mustard Creamy Yogurt Dressing - 14 Oz. Get started today - enroll in Box Tops for Education,5,1,2,40,0,14
0.285,3.99,0.99,0.214,3,3.99,3,Bolthouse Farms Creamy Balsamic Yogurt Dressing - 14 Oz Get started today - enroll in Box Tops for Education,4,1,2,40,0,14
0.285,3.99,0.99,0.214,3,3.99,3,Bolthouse Farms Salsa Verde Avocado Yogurt Dressing - 14 Oz. Get started today - enroll in Box Tops for Education,2,1,3.5,45,0,14
0.285,3.99,0.99,0.214,3,3.99,3,Bolthouse Farms Classic Ranch Yogurt Dressing - 14 Oz. Get started today - enroll in Box Tops for Education,2,1,3,45,0,14
0.285,3.99,0.99,0.214,3,3.99,3,Bolthouse Farms Yogurt Dressing Caesar Yogurt Dressing - 14 Oz. Get started today - enroll in Box Tops for Education,2,1,3,45,0,14
0.285,3.99,0.99,0.214,3,3.99,3,Bolthouse Farms Salsa Ranch Yogurt Dressing - 14 Oz Get started today - enroll in Box Tops for Education,2,1,3,45,0,14
0.285,3.99,0.99,0.214,3,3.99,3,Bolthouse Farms Cucumber Ranch Yogurt Dressing - 14 Oz. Get started today - enroll in Box Tops for Education,2,1,2,35,0,14
0.285,3.99,0.99,0.214,3,3.99,3,Bolthouse Farms Creamy Roasted Garlic Yogurt Dressing - 14 Oz. Get started today - enroll in Box Tops for Education,2,1,2.5,40,0,14
0.285,3.99,0.99,0.214,3,3.99,3,Bolthouse Farms Cilantro Avocado Yogurt Dressing - 14 Oz. Get started today - enroll in Box Tops for Education,1,1,3.5,40,0,14
0.292,1.55,0,0.292,1.55,1.55,0,Dannon Oikos Yogurt Greek Nonfat With Whole Milk Raspberry - 5.3 Oz Get started today - enroll in Box Tops for Education,17,1,4,16,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Dannon Oikos Yogurt Greek Nonfat With Whole Milk Lemon Meringue - 5.3 Oz Get started today - enroll in Box Tops for Education,19,1,4,16,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Dannon Oikos Yogurt Greek Nonfat With Whole Milk Toasted Coconut Vanilla - 5.3 Oz Get started today - enroll in Box Tops for Education,18,1,4,16,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Yogurt Greek Blended Low-Fat Coffee - 5.3 Oz Get started today - enroll in Box Tops for Education,17,1,4.5,16,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Yogurt Greek Blended Low-Fat Key Lime - 5.3 Oz Get started today - enroll in Box Tops for Education,16,1,2.5,14,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Yogurt Greek Whole Milk Blended Honey & Cream Cup - 5.3 Oz Get started today - enroll in Box Tops for Education,16,1,4.5,16,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Yogurt Greek Blended Low-Fat Mixed Berry - 5.3 Oz Get started today - enroll in Box Tops for Education,15,1,2.5,14,0,5.3
0.292,1.55,0,0.292,1.55,0,1.55,Chobani Yogurt Greek Fruit On The Bottom Non-Fat Black Cherry - 5.3 Oz Get started today - enroll in Box Tops for Education,15,1,0,12,0,5.3
